year,stateProvince,n_occurrences
2014,Languedoc-Roussillon,2
2015,Provence-Alpes-Côte d'Azur,1
2016,Provence-Alpes-Côte d'Azur,1
2017,Languedoc-Roussillon,1
2017,Midi-Pyrénées,1
2018,Languedoc-Roussillon,1
2018,Midi-Pyrénées,2
2019,Aquitaine,2
2019,Corse,1
2019,Languedoc-Roussillon,2
2019,Provence-Alpes-Côte d'Azur,6
2019,Rhône-Alpes,6
2020,Aquitaine,5
2020,Corse,2
2020,Languedoc-Roussillon,6
2020,Midi-Pyrénées,15
2020,Provence-Alpes-Côte d'Azur,14
2020,Rhône-Alpes,21
2021,Alsace,1
2021,Languedoc-Roussillon,11
2021,Midi-Pyrénées,4
2021,Occitanie,1
2021,Provence-Alpes-Côte d'Azur,10
2021,Pyrénées-Atlantiques (64),1
2021,Rhône (69),1
2021,Rhône-Alpes,13
2022,Alsace,4
2022,Aquitaine,16
2022,Corse,4
2022,Languedoc-Roussillon,16
2022,Midi-Pyrénées,6
2022,Occitanie,3
2022,Pays de la Loire,1
2022,Poitou-Charentes,2
2022,Provence-Alpes-Côte d'Azur,24
2022,Rhône-Alpes,16
2022,Île-de-France,3
2023,Aquitaine,4
2023,Auvergne,1
2023,Bourgogne,3
2023,Centre,1
2023,Corse,2
2023,Dordogne (24),1
2023,Languedoc-Roussillon,19
2023,Midi-Pyrénées,11
2023,Occitanie,252
2023,Pays de la Loire,2
2023,Poitou-Charentes,8
2023,Provence-Alpes-Côte d'Azur,20
2023,Rhône-Alpes,34
2023,Île-de-France,17
2024,Alsace,6
2024,Aquitaine,4
2024,Auvergne,1
2024,Bourgogne,1
2024,Centre,1
2024,Corse,3
2024,Languedoc-Roussillon,21
2024,Midi-Pyrénées,6
2024,Occitanie,7
2024,Pays de la Loire,1
2024,Poitou-Charentes,4
2024,Provence-Alpes-Côte d'Azur,14
2024,Rhône-Alpes,23
2024,Île-de-France,8
2025,Alsace,7
2025,Aquitaine,9
2025,Ardèche (07),2
2025,Auvergne,1
2025,Bourgogne,1
2025,Corrèze (19),1
2025,Corse,7
2025,Côte-d'Or (21),1
2025,Dordogne (24),1
2025,Languedoc-Roussillon,19
2025,Lot (46),1
2025,Midi-Pyrénées,15
2025,Pays de la Loire,3
2025,Poitou-Charentes,4
2025,Provence-Alpes-Côte d'Azur,24
2025,Rhône-Alpes,23
2025,Savoie (73),1
2025,Vaucluse (84),1
2025,Île-de-France,9
